"id","store_number","store_name","store_address","city","state_code","zip_code","latitude","longitude","overall_rating","review_count","rating_tier","volume_tier","nc_region"
99,"2257","Lowe's Home Improvement","1716 E Main St","Sylva","NC","28779",35.354074,-83.201889,3.8,1215,"Below Average","Low Volume","Mountains / Asheville"
100,"3022","Lowe's Home Improvement","111 River Oaks Dr","Tarboro","NC","27886",35.883345,-77.546633,4.3,790,"Above Average","Low Volume","Eastern NC"
101,"0762","Lowe's Design Center","286 Houston Rd","Troutman","NC","28166",35.677246,-80.84896,4.6,52,"Above Average","Low Volume","Charlotte Metro"
102,"2750","Lowe's Home Improvement","1041 Charlotte Hwy","Troutman","NC","28166",35.673061,-80.854551,4.4,1370,"Above Average","Low Volume","Charlotte Metro"
103,"2255","Lowe's Home Improvement","158 Lowes Dr","W. Jefferson","NC","28694",36.384602,-81.481266,4.2,808,"Average","Low Volume","Foothills / High Country"
104,"1798","Lowe's Home Improvement","11800 Galaxy Dr","Wake Forest","NC","27587",35.968348,-78.539014,4.2,2164,"Average","Medium Volume","Triangle"
105,"0786","Lowe's Home Improvement","1701 Carolina Ave","Washington","NC","27889",35.640722,-77.058412,4.2,1406,"Average","Low Volume","Eastern NC"
106,"2638","Lowe's Home Improvement","2508 Cuthbertson Rd","Waxhaw","NC","28173",34.959771,-80.758292,4.2,1166,"Average","Low Volume","Charlotte Metro"
107,"0470","Lowe's Home Improvement","100 Liner Cove Rd","Waynesville","NC","28786",35.521664,-82.95759,3.9,1955,"Below Average","Medium Volume","Mountains / Asheville"
108,"2634","Lowe's Home Improvement","24 Northridge Commons Pkwy","Weaverille","NC","28787",35.704925,-82.574982,3.9,1883,"Below Average","Medium Volume","Other NC"
109,"2869","Lowe's Home Improvement","100 Green Hill Dr","Whiteville","NC","28472",34.301103,-78.717642,4.2,1214,"Average","Low Volume","Eastern NC"
110,"0701","Lowe's Home Improvement","2003 US-421","Wilkesboro","NC","28697",36.147879,-81.205475,4.0,1518,"Average","Medium Volume","Foothills / High Country"
111,"0445","Lowe's Home Improvement","354 College Rd","Wilmington","NC","28403",34.23626,-77.879071,4.1,2415,"Average","Medium Volume","Coastal"
112,"1138","Lowe's Home Improvement","5110 College Rd","Wilmington","NC","28412",34.148175,-77.895904,4.1,1621,"Average","Medium Volume","Coastal"
113,"2982","Lowe's Home Improvement","191 Porters Neck Rd","Wilmington","NC","28411",34.302217,-77.788989,4.3,1448,"Above Average","Low Volume","Coastal"
114,"0726","Lowe's Home Improvement","2501 Forest Hills Rd W","Wilson","NC","27893",35.794492,-77.940324,4.1,1855,"Average","Medium Volume","Eastern NC"
115,"0436","Lowe's Home Improvement","935 Hanes Mall Blvd","Winston-Salem","NC","27103",36.06332,-80.31375,4.1,2478,"Average","Medium Volume","Triad"
116,"0480","Lowe's Home Improvement","5901 University Pkwy","Winston-Salem","NC","27105",36.183024,-80.271826,4.1,2503,"Average","High Volume","Triad"
117,"2653","Lowe's Home Improvement","1450 Lumber Ln","Winston-Salem","NC","27127",36.031497,-80.262084,4.2,2157,"Average","Medium Volume","Triad"
118,"0598","Lowe's Home Improvement","800 Thomas Langston Rd","Winterville","NC","28590",35.638392,-77.407487,4.1,2221,"Average","Medium Volume","Eastern NC"
