id,source,store_number,city,store_address,store_name,state_code,zip_code,latitude,longitude,overall_rating,review_count,scraped_at
15,google,0487,Chapel Hill,1801 Fordham Blvd,Lowe's Home Improvement,NC,27514,35.94773,-79.012514,4,1570,3/25/26
16,google,2348,Charlotte,217 Iverson Way,Lowe's Home Improvement,NC,28203,35.206034,-80.861378,4.1,2246,3/25/26
17,google,0408,Charlotte,1100 Chancellor Park Dr,Lowe's Home Improvement,NC,28213,35.292022,-80.74251,4.1,2179,3/25/26
18,google,1112,Charlotte,5310 Ballantyne Commons Pkwy,Lowe's Home Improvement,NC,28277,35.065709,-80.772383,4.2,977,3/25/26
19,google,2352,Charlotte,10275 Perimeter Pkwy,Lowe's Home Improvement,NC,28216,35.345945,-80.855859,4.2,2403,3/25/26
20,google,1920,Charlotte,8826 Albemarle Rd,Lowe's Home Improvement,NC,28227,35.20879,-80.696686,4.2,1816,3/25/26
21,google,1060,Charlotte,8192 S Tryon St,Lowe's Home Improvement,NC,28273,35.145672,-80.931976,4.1,1654,3/25/26
22,google,0377,Charlotte,10625 McMullen Creek Pkwy,Lowe's Home Improvement,NC,28226,35.090441,-80.855809,4.1,1569,3/25/26
23,google,1689,Clinton,911 Sunset Ave,Lowe's Home Improvement,NC,28328,34.993665,-78.33988,4.1,1227,3/25/26
24,google,0697,Concord,940 Concord Parkway North,Lowe's Home Improvement,NC,28027,35.43990712,-80.61350327,4.2,2228,3/25/26
25,google,2981,Concord,8670 Concord Mills Blvd,Lowe's Home Improvement,NC,28027,35.375679,-80.728931,4.2,2184,3/25/26
26,google,2636,Denver,7144 NC-73,Lowe's Home Improvement,NC,28037,35.448575,-81.004577,4.2,1627,3/25/26
27,google,2778,Durham,4402 Fayetteville Rd,Lowe's Home Improvement,NC,27713,35.940909,-78.907787,4.1,2030,3/25/26
28,google,0576,Durham,117 William Penn Plaza,Lowe's Home Improvement,NC,27704,36.044846,-78.89975,4,2217,3/25/26
